"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 28 13:17:17 BRT 2023","Mon Aug 28 13:17:19 BRT 2023","1567","","Efetuar Login","","","","CT015.6 - Validar efetuar login com senha incorreta",""
"passed","Mon Aug 28 13:16:32 BRT 2023","Mon Aug 28 13:16:33 BRT 2023","651","","Home Page","","","","CT004.2 - Validar botão ""entrar na plataforma(2)!"" com sucesso",""
"passed","Mon Aug 28 13:16:52 BRT 2023","Mon Aug 28 13:16:56 BRT 2023","4264","","Home Page","","","","CT067 - Validar mudança do botão ""Login"" para ""Sua área"" com sucesso",""
"passed","Mon Aug 28 13:17:11 BRT 2023","Mon Aug 28 13:17:13 BRT 2023","1642","","Efetuar Login","","","","CT015.1 - Validar efetuar login com usuário não cadastrado no sistema",""
"passed","Mon Aug 28 13:13:50 BRT 2023","Mon Aug 28 13:13:52 BRT 2023","2414","","Dashboard Despesas","","","","CT047 - Validar botão ""Investimentos"" na tela Despesas com sucesso",""
"passed","Mon Aug 28 13:16:50 BRT 2023","Mon Aug 28 13:16:51 BRT 2023","562","","Home Page","","","","CT007 - Validar botão cadastrar com sucesso",""
"passed","Mon Aug 28 13:17:13 BRT 2023","Mon Aug 28 13:17:13 BRT 2023","763","","Efetuar Login","","","","CT015.2 - Validar efetuar login sem e-mail",""
"passed","Mon Aug 28 13:16:18 BRT 2023","Mon Aug 28 13:16:20 BRT 2023","2223","","Dashboard Usuário","","","","CT027 - Validar botão sair com sucesso",""
"passed","Mon Aug 28 13:16:09 BRT 2023","Mon Aug 28 13:16:11 BRT 2023","2193","","Dashboard Usuário","","","","CT023 - Validar botão suas receitas com sucesso",""
"passed","Mon Aug 28 13:14:35 BRT 2023","Mon Aug 28 13:14:37 BRT 2023","2725","","Dashboard - Investimentos","","","","CT052 - Validar botão ""Receitas"" na tela Investimentos com sucesso",""
"failed","Mon Aug 28 13:15:38 BRT 2023","Mon Aug 28 13:15:42 BRT 2023","4067","","Dashboard Receitas","","","","CT068 - Validar Cadastrar despesa com valor negativo",""
"passed","Mon Aug 28 13:16:32 BRT 2023","Mon Aug 28 13:16:32 BRT 2023","568","","Home Page","","","","CT004.1 - Validar botão ""entrar na plataforma(1)!"" com sucesso",""
"passed","Mon Aug 28 13:14:46 BRT 2023","Mon Aug 28 13:14:49 BRT 2023","2862","","Dashboard - Investimentos","","","","CT056 - Validar botão Logo na tela Investimentos com sucesso",""
"passed","Mon Aug 28 13:17:06 BRT 2023","Mon Aug 28 13:17:11 BRT 2023","4935","","Efetuar Login","","","","CT014 - Validar efetuar login com sucesso",""
"passed","Mon Aug 28 13:14:32 BRT 2023","Mon Aug 28 13:14:35 BRT 2023","2806","","Dashboard - Investimentos","","","","CT040 - Validar botão ""Início"" na tela Investimentos com sucesso",""
"passed","Mon Aug 28 13:16:38 BRT 2023","Mon Aug 28 13:16:43 BRT 2023","4909","","Home Page","","","","CT005.1 - Validar Fale Conosco sem nome",""
"passed","Mon Aug 28 13:17:28 BRT 2023","Mon Aug 28 13:17:33 BRT 2023","5640","","Tela Meus dados","","","","CT042 - Validar botão Editar em meus dados com sucesso",""
"passed","Mon Aug 28 13:13:10 BRT 2023","Mon Aug 28 13:13:11 BRT 2023","1671","","Pagina Cadastrar usuário","","","","CT010.2 - Validar cadastrar usuário sem e-mail",""
"passed","Mon Aug 28 13:15:24 BRT 2023","Mon Aug 28 13:15:26 BRT 2023","2319","","Dashboard Receitas","","","","CT057 - Validar botão ""Meus dados"" na tela Receitas com sucesso",""
"passed","Mon Aug 28 13:16:51 BRT 2023","Mon Aug 28 13:16:52 BRT 2023","1088","","Home Page","","","","CT008 - Validar cadastrar e-mail na newsletter com sucesso",""
"passed","Mon Aug 28 13:13:04 BRT 2023","Mon Aug 28 13:13:08 BRT 2023","3540","","Pagina Cadastrar usuário","","","","CT009 - Validar cadastrar usuário com sucesso",""
"passed","Mon Aug 28 13:13:21 BRT 2023","Mon Aug 28 13:13:21 BRT 2023","438","","Pagina Cadastrar usuário","","","","CT013 - Validar botão logo com sucesso",""
"passed","Mon Aug 28 13:13:55 BRT 2023","Mon Aug 28 13:13:58 BRT 2023","3143","","Dashboard Despesas","","","","CT049 - Validar botão Logo na tela Despesas com sucesso",""
"passed","Mon Aug 28 13:16:50 BRT 2023","Mon Aug 28 13:16:50 BRT 2023","602","","Home Page","","","","CT006 - Validar botão ""Login"" no rodapé com sucesso",""
"passed","Mon Aug 28 13:15:02 BRT 2023","Mon Aug 28 13:15:09 BRT 2023","6672","","Dashboard Receitas","","","","CT028 - Validar adicionar receita com sucesso",""
"passed","Mon Aug 28 13:15:17 BRT 2023","Mon Aug 28 13:15:19 BRT 2023","2353","","Dashboard Receitas","","","","CT041.1 - Validar botão ""Início"" na tela Receitas com sucesso",""
"passed","Mon Aug 28 13:17:14 BRT 2023","Mon Aug 28 13:17:16 BRT 2023","1401","","Efetuar Login","","","","CT015.4 - Validar efetuar login com e-mail em formato inválido",""
"passed","Mon Aug 28 13:17:13 BRT 2023","Mon Aug 28 13:17:14 BRT 2023","890","","Efetuar Login","","","","CT015.3 - Validar efetuar login sem senha",""
"passed","Mon Aug 28 13:14:14 BRT 2023","Mon Aug 28 13:14:22 BRT 2023","7880","","Dashboard - Investimentos","","","","CT036 - Validar adicionar investimento com sucesso",""
"passed","Mon Aug 28 13:16:31 BRT 2023","Mon Aug 28 13:16:32 BRT 2023","585","","Home Page","","","","CT003 - Validar botão ""Entrar na plataforma!"" com sucesso",""
"passed","Mon Aug 28 13:16:33 BRT 2023","Mon Aug 28 13:16:38 BRT 2023","5468","","Home Page","","","","CT005 - Validar Fale Conosco com sucesso",""
"passed","Mon Aug 28 13:17:19 BRT 2023","Mon Aug 28 13:17:19 BRT 2023","425","","Efetuar Login","","","","CT016 - Validar botão Faça seu cadastro",""
"passed","Mon Aug 28 13:13:52 BRT 2023","Mon Aug 28 13:13:55 BRT 2023","2833","","Dashboard Despesas","","","","CT048 - Validar botão ""Meus dados"" com sucesso",""
"passed","Mon Aug 28 13:14:43 BRT 2023","Mon Aug 28 13:14:46 BRT 2023","2882","","Dashboard - Investimentos","","","","CT055 - Validar botão ""Sair"" na tela Investimentos com sucesso",""
"passed","Mon Aug 28 13:16:43 BRT 2023","Mon Aug 28 13:16:48 BRT 2023","4604","","Home Page","","","","CT005.1 - Validar Fale Conosco sem e-mail",""
"passed","Mon Aug 28 13:13:11 BRT 2023","Mon Aug 28 13:13:13 BRT 2023","1926","","Pagina Cadastrar usuário","","","","CT010.3 - Validar cadastrar usuário sem data de nascimento",""
"passed","Mon Aug 28 13:13:17 BRT 2023","Mon Aug 28 13:13:20 BRT 2023","3526","","Pagina Cadastrar usuário","","","","CT010.6 - Validar cadastrar usuário já cadastrado",""
"passed","Mon Aug 28 13:14:37 BRT 2023","Mon Aug 28 13:14:40 BRT 2023","2840","","Dashboard - Investimentos","","","","CT053 - Validar botão ""Despesas"" na tela Investimentos com sucesso",""
"passed","Mon Aug 28 13:13:48 BRT 2023","Mon Aug 28 13:13:50 BRT 2023","2228","","Dashboard Despesas","","","","CT046 - Validar botão ""Receitas"" na tela Despesas com sucesso",""
"passed","Mon Aug 28 13:15:11 BRT 2023","Mon Aug 28 13:15:17 BRT 2023","5515","","Dashboard Receitas","","","","CT031 - Validar excluir uma receita com sucesso",""
"passed","Mon Aug 28 13:13:13 BRT 2023","Mon Aug 28 13:13:15 BRT 2023","1923","","Pagina Cadastrar usuário","","","","CT010.4 - Validar cadastrar usuário sem cpf",""
"passed","Mon Aug 28 13:13:21 BRT 2023","Mon Aug 28 13:13:21 BRT 2023","384","","Pagina Cadastrar usuário","","","","CT011 - Validar botão ""faça login"" com sucesso",""
"passed","Mon Aug 28 13:15:55 BRT 2023","Mon Aug 28 13:16:00 BRT 2023","5227","","Dashboard Usuário","","","","CT018 - Validar botão início com sucesso",""
"passed","Mon Aug 28 13:16:05 BRT 2023","Mon Aug 28 13:16:07 BRT 2023","2306","","Dashboard Usuário","","","","CT021 - Validar botão investimentos com sucesso",""
"passed","Mon Aug 28 13:16:07 BRT 2023","Mon Aug 28 13:16:09 BRT 2023","2072","","Dashboard Usuário","","","","CT022 - Validar Meus Dados com sucesso",""
"passed","Mon Aug 28 13:13:31 BRT 2023","Mon Aug 28 13:13:38 BRT 2023","7101","","Dashboard Despesas","","","","CT032 - Validar adicionar despesa com sucesso",""
"passed","Mon Aug 28 13:16:02 BRT 2023","Mon Aug 28 13:16:05 BRT 2023","2231","","Dashboard Usuário","","","","CT020 - Validar botão despesas com sucesso",""
"passed","Mon Aug 28 13:13:45 BRT 2023","Mon Aug 28 13:13:48 BRT 2023","2344","","Dashboard Despesas","","","","CT045 - Validar botão ""Início"" na tela Despesas com sucesso",""
"passed","Mon Aug 28 13:16:00 BRT 2023","Mon Aug 28 13:16:02 BRT 2023","2263","","Dashboard Usuário","","","","CT019 - Validar botão receitas com sucesso",""
"passed","Mon Aug 28 13:13:38 BRT 2023","Mon Aug 28 13:13:41 BRT 2023","2744","","Dashboard Despesas","","","","CT033 - Validar campo buscar uma despesa com sucesso",""
"passed","Mon Aug 28 13:14:22 BRT 2023","Mon Aug 28 13:14:25 BRT 2023","2884","","Dashboard - Investimentos","","","","CT037 - Validar campo buscar um investimento com sucesso",""
"passed","Mon Aug 28 13:13:41 BRT 2023","Mon Aug 28 13:13:45 BRT 2023","4023","","Dashboard Despesas","","","","CT035 - Validar excluir uma despesa com sucesso",""
"passed","Mon Aug 28 13:15:19 BRT 2023","Mon Aug 28 13:15:22 BRT 2023","2278","","Dashboard Receitas","","","","CT041.2 - Validar botão ""Investimentos"" na tela Receitas com sucesso",""
"passed","Mon Aug 28 13:16:11 BRT 2023","Mon Aug 28 13:16:13 BRT 2023","2113","","Dashboard Usuário","","","","CT024 - Validar botão suas despesas com sucesso",""
"failed","Mon Aug 28 13:15:31 BRT 2023","Mon Aug 28 13:15:38 BRT 2023","7646","","Dashboard Receitas","","","","CT066 - Validar cadastrar nova Receita com campo valor zerado",""
"passed","Mon Aug 28 13:15:26 BRT 2023","Mon Aug 28 13:15:28 BRT 2023","2127","","Dashboard Receitas","","","","CT058 - Validar botão ""Sair"" na tela Receitas com sucesso",""
"passed","Mon Aug 28 13:14:40 BRT 2023","Mon Aug 28 13:14:43 BRT 2023","2712","","Dashboard - Investimentos","","","","CT054 - Validar botão ""Meus dados"" na tela Investimentos com sucesso",""
"passed","Mon Aug 28 13:13:58 BRT 2023","Mon Aug 28 13:14:01 BRT 2023","2621","","Dashboard Despesas","","","","CT050 - Validar botão ""Sair"" na tela Despesas com sucesso",""
"passed","Mon Aug 28 13:16:13 BRT 2023","Mon Aug 28 13:16:16 BRT 2023","2188","","Dashboard Usuário","","","","CT025 - Validar botão seus investimentos com sucesso",""
"passed","Mon Aug 28 13:17:16 BRT 2023","Mon Aug 28 13:17:17 BRT 2023","1456","","Efetuar Login","","","","CT015.5 - Validar efetuar login com senha menor que 5 dígitos",""
"passed","Mon Aug 28 13:16:30 BRT 2023","Mon Aug 28 13:16:30 BRT 2023","728","","Home Page","","","","CT001 - Validar botão ""cadastro"" com sucesso",""
"passed","Mon Aug 28 13:14:25 BRT 2023","Mon Aug 28 13:14:32 BRT 2023","7025","","Dashboard - Investimentos","","","","CT039 - Validar excluir um investimento com sucesso",""
"passed","Mon Aug 28 13:15:09 BRT 2023","Mon Aug 28 13:15:11 BRT 2023","2388","","Dashboard Receitas","","","","CT029 - Validar campo buscar uma receita com sucesso",""
